GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
companysearch,com.lnrs,CompanysearchApplication,5,3,0,0,2,1,1,1,1,1
companysearch,com.lnrs.controller,CompanyController,0,47,0,0,0,9,0,3,0,3
companysearch,com.lnrs.request,CompanyRequest,16,20,0,0,1,5,2,6,2,6
companysearch,com.lnrs.exceptions,CompanySearchException,4,0,0,0,2,0,1,0,1,0
companysearch,com.lnrs.exceptions,CustomErrorResponse,16,0,0,0,6,0,4,0,4,0
companysearch,com.lnrs.exceptions,GlobalExceptionHandler,20,3,0,0,3,1,3,1,3,1
companysearch,com.lnrs.exceptions,OfficerSearchException,4,0,0,0,2,0,1,0,1,0
companysearch,com.lnrs.validation,RequestValidation,16,0,4,0,3,0,5,0,3,0
companysearch,com.lnrs.dto,CompanyDTO,26,0,0,0,5,0,6,0,6,0
companysearch,com.lnrs.response,CompanySearchResponseHandler,17,0,0,0,4,0,5,0,5,0
companysearch,com.lnrs.response,ResponseSerializer,25,0,0,0,8,0,2,0,2,0
companysearch,com.lnrs.entity,CompanyEntity,33,3,0,0,5,1,7,1,7,1
companysearch,com.lnrs.mapper,Company,59,38,0,0,6,12,11,6,11,6
companysearch,com.lnrs.mapper,CompanyList,22,10,0,0,5,3,4,3,4,3
companysearch,com.lnrs.mapper,Officer,18,28,0,0,2,5,5,5,5,5
companysearch,com.lnrs.mapper,OfficerList,6,10,0,0,1,3,1,3,1,3
companysearch,com.lnrs.mapper,DBMapper,43,0,0,0,11,0,5,0,5,0
companysearch,com.lnrs.mapper,OfficerMapper,27,4,0,0,9,1,2,1,2,1
companysearch,com.lnrs.mapper,CompanyMapper,37,4,4,0,10,1,3,1,1,1
companysearch,com.lnrs.mapper,Address,45,21,0,0,8,1,13,1,13,1
companysearch,com.lnrs.config,RestTemplateBuilderConfig,0,6,0,0,0,2,0,2,0,2
companysearch,com.lnrs.service,CompanySearchWithOfficersImpl,119,16,20,0,36,6,13,2,3,2
companysearch,com.lnrs.service,CompanyServiceImpl,32,55,6,4,7,16,5,4,0,4
companysearch,com.lnrs.service,OfficerServiceImpl,17,30,2,2,4,8,7,2,5,2
companysearch,com.lnrs.service,OfficerMergerServiceImpl,71,6,4,0,19,3,4,1,2,1
companysearch,com.lnrs.service,HTTPClient,9,39,0,0,3,10,3,2,3,2
companysearch,com.lnrs.util,FilterUtils,3,49,0,2,1,8,1,5,1,4
